incident_number,date_time_of_call,cal_year,fin_year,type_of_incident,pump_count,pump_hours_total,hourly_notional_cost,incident_notional_cost,final_description,animal_group_parent,originof_call,property_type,property_category,special_service_type_category,special_service_type,ward_code,ward,borough_code,borough,stn_ground_name,uprn,street,usrn,postcode_district,easting_m,northing_m,easting_rounded,northing_rounded,latitude,longitude,dist,time
42324091.0,14/03/2009 20:06,2009,2008/09,Special Service,1.0,2.0,255,0.09357798165137615,Redacted,Bird,Person (land line),Other retail,Non Residential,Animal rescue from height,Animal rescue from height - Bird,E05000418,Clapham Common,E09000022,Lambeth,Clapham,100023000000.0,Abbeville Road,21900061.0,SW4,529250.0,174250.0,529250,174250,0.3954107717738204,0.44017824895891056,0.2625659460021327,20
42388091.0,14/03/2009 21:29,2009,2008/09,Special Service,1.0,1.0,255,0.0,Redacted,Unknown - Heavy Livestock Animal,Person (mobile),Private Garden Shed,Non Residential,Other animal assistance,Animal assistance involving livestock - Other action,E05000111,Chislehurst,E09000006,Bromley,Eltham,100020000000.0,Barham Road,20302299.0,BR7,543609.0,171318.0,543650,171350,0.3190003105063672,0.6995532329869028,0.5253663417083312,21
45058091.0,18/03/2009 22:07,2009,2008/09,Special Service,1.0,1.0,255,0.0,Redacted,Cat,Person (mobile),Domestic garden (vegetation not equipment),Outdoor,Animal rescue from below ground,Animal rescue from below ground - Domestic pet,E05000529,South Twickenham,E09000027,Richmond upon Thames,Twickenham,100022000000.0,Strawberry Vale,22403855.0,TW1,516044.0,172402.0,516050,172450,0.3601522109342905,0.1994370230897421,0.5227509368714692,22
46168091.0,20/03/2009 16:36,2009,2008/09,Special Service,1.0,1.0,255,0.0,Redacted,Cat,Person (land line),Tree scrub,Outdoor,Animal rescue from height,Animal rescue from height - Domestic pet,E05000195,Chase,E09000010,Enfield,Enfield,207116149.0,Elm Gardens,20702659.0,EN2,532650.0,198384.0,532650,198350,0.9494387900573742,0.5134479107623399,0.4529393601797111,16
46950091.0,21/03/2009 18:24,2009,2008/09,Special Service,1.0,1.0,255,0.0,Redacted,Cat,Person (land line),Domestic garden (vegetation not equipment),Outdoor,Other animal assistance,Animal assistance involving livestock - Other action,E05011110,Peckham,E09000028,Southwark,Old Kent Road,200003000000.0,Hoyland Close,22501310.0,SE15,534615.0,177301.0,534650,177350,0.46250301667537447,0.5391225506241496,0.3050211877886469,18
49666091.0,25/03/2009 19:53,2009,2008/09,Special Service,1.0,1.0,255,0.0,Redacted,Dog,Person (land line),Outdoor storage,Outdoor Structure,Other animal assistance,Animal assistance involving livestock - Other action,E05009329,St. Dunstan's,E09000030,Tower Hamlets,Bethnal Green,6136084.0,Eastfield Street,22702396.0,E14,536442.0,181589.0,536450,181550,0.5601749470458599,0.5744303143727459,0.3187480556803526,19
50224091.0,26/03/2009 19:39,2009,2008/09,Special Service,1.0,1.0,255,0.0,Redacted,Dog,Person (mobile),Domestic garden (vegetation not equipment),Outdoor,Animal rescue from below ground,Animal rescue from below ground - Domestic pet,E05000033,Goresbrook,E09000002,Barking and Dagenham,Dagenham,100000157.0,Lullington Road,19900003.0,RM9,548250.0,184167.0,548250,184150,0.6119410068154231,0.7906202862996817,0.5412313109937413,19
50969091.0,28/03/2009 03:28,2009,2008/09,Special Service,1.0,1.0,255,0.0,Redacted,Dog,Person (land line),Private garage,Non Residential,Animal rescue from height,Animal rescue from height - Domestic pet,E05000317,Pettits,E09000016,Havering,Romford,100021000000.0,Collier Row Lane,21301094.0,RM5,550223.0,190138.0,550250,190150,0.7481558765041525,0.8297493173113831,0.6140325064685135,3
51218091.0,28/03/2009 16:00,2009,2008/09,Special Service,1.0,1.0,255,0.0,Redacted,Bird,Person (mobile),Multi-Storey car park,Non Residential,Animal rescue from height,Animal rescue from height - Bird,E05000408,Grove,E09000021,Kingston upon Thames,Kingston,128011094.0,Lady Booth Road,21800579.0,KT1,518241.0,169196.0,518250,169150,0.28511342840435067,0.23799784664680027,0.5215469288568372,16
52735091.0,31/03/2009 07:40,2009,2008/09,Special Service,1.0,1.0,255,0.0,Redacted,Cat,Person (land line),"Takeaway, fast food",Non Residential,Other animal assistance,Animal assistance involving livestock - Other action,E05000107,Biggin Hill,E09000006,Bromley,Biggin Hill,100023000000.0,Main Road,20302882.0,TN16,542161.0,158562.0,542150,158550,0.02605443524541337,0.6668287045676735,0.6036266428844884,7
56140091.0,05/04/2009 11:35,2009,2009/10,Special Service,1.0,1.0,260,0.001834862385321101,Redacted,Cat,Person (land line),Private garage,Non Residential,Other animal assistance,Animal assistance involving livestock - Other action,E05000140,Kilburn,E09000007,Camden,West Hampstead,5021535.0,Kingsgate Road,20400550.0,NW6,525284.0,183950.0,525250,183950,0.6211980243785633,0.37246025685057743,0.3174785299827479,11
58297091.0,08/04/2009 14:31,2009,2009/10,Special Service,1.0,1.0,260,0.001834862385321101,Redacted,Cat,Person (mobile),Domestic garden (vegetation not equipment),Outdoor,Animal rescue from height,Animal rescue from height - Domestic pet,E05011484,South Croydon,E09000008,Croydon,Croydon,100021000000.0,St. Peters Road,20502342.0,CR0,532752.0,164426.0,532750,164450,0.1669853559494815,0.49916724746140034,0.420324083297636,14
60188091.0,11/04/2009 15:08,2009,2009/10,Special Service,1.0,1.0,260,0.001834862385321101,Redacted,Cat,Person (land line),Park,Outdoor,Animal rescue from height,Animal rescue from height - Domestic pet,E05000564,Sutton Central,E09000029,Sutton,Sutton,5870048525.0,Glena Mount,22602333.0,SM1,526316.0,164883.0,526350,164850,0.18127326378136932,0.3826551911778626,0.4449713473921631,15
60935091.0,12/04/2009 22:40,2009,2009/10,Special Service,1.0,1.0,260,0.001834862385321101,Redacted,Dog,Person (land line),Other outdoor location,Outdoor,Other animal assistance,Animal assistance involving livestock - Other action,E05000328,Charville,E09000017,Hillingdon,Hillingdon,100021000000.0,Grosvenor Avenue,21400854.0,UB4,509634.0,183116.0,509650,183150,0.6103189949777235,0.08718385855670156,0.5677848765157486,22
68438091.0,25/04/2009 12:32,2009,2009/10,Special Service,1.0,1.0,260,0.001834862385321101,Redacted,Cat,Person (mobile),Wasteland,Outdoor,Other animal assistance,Animal assistance involving livestock - Other action,E05009376,Homerton,E09000012,Hackney,Homerton,100023000000.0,Lower Clapton Road,20900640.0,E5,535144.0,185361.0,535150,185350,0.6478779590755581,0.5526407641171749,0.3443239811572846,12
68463091.0,25/04/2009 13:25,2009,2009/10,Special Service,1.0,1.0,260,0.001834862385321101,Redacted,Cat,Person (mobile),Wasteland,Outdoor,Other animal assistance,Animal assistance involving livestock - Other action,E05009376,Homerton,E09000012,Hackney,Homerton,100023000000.0,Lower Clapton Road,20900640.0,E5,535144.0,185361.0,535150,185350,0.6478779590755581,0.5526407641171749,0.3443239811572846,13
69109091.0,26/04/2009 10:51,2009,2009/10,Special Service,1.0,1.0,260,0.001834862385321101,Redacted,Cat,Person (land line),Private Garden Shed,Non Residential,Animal rescue from below ground,Animal rescue from below ground - Domestic pet,E05000263,Shepherd's Bush Green,E09000013,Hammersmith and Fulham,Hammersmith,34038663.0,Stanlake Villas,21000775.0,W12,523047.0,180128.0,523050,180150,0.5343917401767959,0.33004779537202855,0.3192398643653367,10
70888091.0,29/04/2009 02:27,2009,2009/10,Special Service,1.0,1.0,260,0.001834862385321101,Redacted,Cat,Person (land line),River/canal,Outdoor,Animal rescue from water,Animal rescue from water - Domestic pet,E05009320,Bow West,E09000030,Tower Hamlets,Bethnal Green,6138601.0,Printers Mews,22702385.0,E3,536341.0,183625.0,536350,183650,0.6071449384295642,0.573587695980973,0.3453309716778996,2
71406091.0,29/04/2009 19:45,2009,2009/10,Special Service,1.0,1.0,260,0.001834862385321101,Redacted,Dog,Person (land line),Private garage,Non Residential,Animal rescue from height,Animal rescue from height - Domestic pet,E05000261,Ravenscourt Park,E09000013,Hammersmith and Fulham,Hammersmith,34007375.0,Verbena Gardens,21000845.0,W6,522081.0,178294.0,522050,178250,0.4926685911002293,0.3116723684518655,0.364326974021961,19
74705091.0,04/05/2009 19:27,2009,2009/10,Special Service,1.0,1.0,260,0.001834862385321101,Redacted,Bird,Person (land line),Warehouse,Non Residential,Animal rescue from height,Animal rescue from height - Bird,E05009376,Homerton,E09000012,Hackney,Homerton,100021000000.0,Collent Street,20900264.0,E9,535464.0,184570.0,535450,184550,0.629457375828657,0.5580834268721904,0.3401216708767614,19
75866091.0,06/05/2009 16:30,2009,2009/10,Special Service,1.0,1.0,260,0.001834862385321101,Redacted,Dog,Person (land line),Domestic garden (vegetation not equipment),Outdoor,Animal rescue from height,Animal rescue from height - Domestic pet,E05000311,Hacton,E09000016,Havering,Hornchurch,100021000000.0,Plumpton Avenue,21300541.0,RM12,554521.0,186029.0,554550,186050,0.6505259161546563,0.9057810365068375,0.6317788196829649,16
77871091.0,09/05/2009 20:35,2009,2009/10,Special Service,1.0,1.0,260,0.001834862385321101,Redacted,Bird,Person (land line),Other outdoor location,Outdoor,Animal rescue from height,Animal rescue from height - Bird,E05000517,East Sheen,E09000027,Richmond upon Thames,Richmond,100023000000.0,Portman Avenue,22404893.0,SW14,520725.0,175579.0,520750,175550,0.43085280082973787,0.2858410244817142,0.4210622103680119,20
78277091.0,10/05/2009 11:30,2009,2009/10,Special Service,1.0,1.0,260,0.001834862385321101,Redacted,Bird,Other FRS,Restaurant/cafe,Non Residential,Animal rescue from height,Animal rescue from height - Bird,E05000200,Grange,E09000010,Enfield,Enfield,207173552.0,The Town,20703007.0,EN2,532891.0,196563.0,532850,196550,0.9073389363268716,0.5169738921557046,0.4376353036490616,11
79115091.0,11/05/2009 16:06,2009,2009/10,Special Service,1.0,1.0,260,0.001834862385321101,Redacted,Cat,Person (land line),Woodland/forest - broadleaf/hardwood,Outdoor,Animal rescue from height,Animal rescue from height - Domestic pet,E05000606,Markhouse,E09000031,Waltham Forest,Walthamstow,200001000000.0,Priory Avenue,22866350.0,E17,537324.0,188885.0,537350,188850,0.7277193990539065,0.5940722300863697,0.427198236185501,16
81584091.0,15/05/2009 09:56,2009,2009/10,Special Service,1.0,2.0,260,0.09724770642201835,Redacted,Cat,Person (mobile),Domestic garden (vegetation not equipment),Outdoor,Animal rescue from height,Animal rescue from height - Domestic pet,E05000266,Alexandra,E09000014,Haringey,Hornsey,100021000000.0,Dukes Avenue,21101214.0,N10,529189.0,189965.0,529150,189950,0.7575318817688356,0.4463421636896326,0.309001572811537,9
82314091.0,16/05/2009 17:09,2009,2009/10,Special Service,1.0,1.0,260,0.001834862385321101,Redacted,Dog,Person (mobile),Domestic garden (vegetation not equipment),Outdoor,Animal rescue from below ground,Animal rescue from below ground - Domestic pet,E05011235,Barkingside,E09000026,Redbridge,Hainault,100022000000.0,Glenthorne Gardens,22302878.0,IG6,543552.0,189468.0,543550,189450,0.7371734475341826,0.7078427438889623,0.5255936928845371,17
83903091.0,19/05/2009 10:38,2009,2009/10,Special Service,1.0,1.0,260,0.001834862385321101,Redacted,Bird,Person (land line),Multi-Storey car park,Non Residential,Animal rescue from below ground,Animal rescue from below ground - Bird,E05000341,Uxbridge South,E09000017,Hillingdon,Hillingdon,100023000000.0,Belmont Road,21400145.0,UB8,505250.0,184250.0,505250,184250,0.6385902267383565,0.007796017389277428,0.6294851348522879,10
83922091.0,19/05/2009 11:35,2009,2009/10,Special Service,1.0,1.0,260,0.001834862385321101,Redacted,Bird,Person (land line),Bridge,Outdoor Structure,Animal rescue from height,Animal rescue from height - Bird,E05000199,Enfield Lock,E09000010,Enfield,Enfield,207174568.0,South Ordnance Road,20706877.0,EN3,537163.0,198347.0,537150,198350,0.9458092164884245,0.5958139397208903,0.5185951445974067,11
84125091.0,19/05/2009 17:46,2009,2009/10,Special Service,1.0,1.0,260,0.001834862385321101,Redacted,Cat,Person (mobile),Domestic garden (vegetation not equipment),Outdoor,Animal rescue from height,Animal rescue from height - Domestic pet,E05000192,Walpole,E09000009,Ealing,Ealing,12068057.0,Camborne Avenue,20600303.0,W13,516987.0,179766.0,516950,179750,0.5293452361372578,0.2196450391846297,0.4373549885390542,17
84176091.0,19/05/2009 19:07,2009,2009/10,Special Service,1.0,1.0,260,0.001834862385321101,Redacted,Bird,Person (land line),Vehicle Repair Workshop,Non Residential,Animal rescue from height,Animal rescue from height - Bird,E05000331,Heathrow Villages,E09000017,Hillingdon,Heathrow,10022798455.0,Northern Perimeter Road,21401419.0,TW6,507059.0,176863.0,507050,176850,0.4674886808494248,0.037906760441605306,0.5993942517241841,19
86422091.0,23/05/2009 06:21,2009,2009/10,Special Service,1.0,1.0,260,0.001834862385321101,Redacted,Cat,Person (land line),Private garage,Non Residential,Other animal assistance,Animal assistance involving livestock - Other action,E05011223,Crook Log,E09000004,Bexley,Bexley,100020000000.0,Dallin Road,20100417.0,DA6,547912.0,175328.0,547950,175350,0.40854456812424095,0.7797912782629123,0.5519075194269417,6
93633091.0,02/06/2009 10:12,2009,2009/10,Special Service,1.0,1.0,260,0.001834862385321101,Redacted,Dog,Person (mobile),Railway trackside vegetation,Outdoor,Other animal assistance,Animal assistance involving livestock - Other action,E05009373,Hackney Downs,E09000012,Hackney,Stoke Newington,100023000000.0,Evering Road,20900387.0,N16,534014.0,186173.0,534050,186150,0.6672770565688513,0.532455227261368,0.3318827699655501,10
93755091.0,02/06/2009 13:28,2009,2009/10,Special Service,1.0,1.0,260,0.001834862385321101,Redacted,Cat,Person (land line),Woodland/forest - broadleaf/hardwood,Outdoor,Animal rescue from height,Animal rescue from height - Domestic pet,E05000192,Walpole,E09000009,Ealing,Ealing,12068057.0,Camborne Avenue,20600303.0,W13,516996.0,179757.0,516950,179750,0.5291330785784552,0.2198050024352488,0.4373048204627985,13
94505091.0,03/06/2009 11:03,2009,2009/10,Special Service,1.0,1.0,260,0.001834862385321101,Redacted,Cat,Person (land line),Domestic garden (vegetation not equipment),Outdoor,Animal rescue from height,Animal rescue from height - Domestic pet,E05000125,Plaistow and Sundridge,E09000006,Bromley,Bromley,100020000000.0,London Lane,20302952.0,BR1,540372.0,170382.0,540350,170350,0.2995122222110868,0.6403140548911462,0.4865347418221986,11
94847091.0,03/06/2009 21:28,2009,2009/10,Special Service,1.0,1.0,260,0.001834862385321101,Redacted,Dog,Person (mobile),Railings,Outdoor Structure,Other animal assistance,Animal assistance involving livestock - Other action,E05000342,West Drayton,E09000017,Hillingdon,Hayes,100022000000.0,Thornton Avenue,21401990.0,UB7,506893.0,179212.0,506850,179250,0.5217010518733277,0.03578639153024618,0.5829296561335653,21
96751091.0,06/06/2009 20:03,2009,2009/10,Special Service,1.0,1.0,260,0.001834862385321101,Redacted,Unknown - Heavy Livestock Animal,Person (land line),Fire station,Non Residential,Other animal assistance,Animal assistance involving livestock - Other action,E05011487,Waddon,E09000008,Croydon,Croydon,200001000000.0,Old Town,20501261.0,CR0,531995.0,165038.0,531950,165050,0.18153846713946256,0.4857259522525904,0.4004443107349553,20
97816091.0,08/06/2009 14:25,2009,2009/10,Special Service,1.0,1.0,260,0.001834862385321101,Redacted,Bird,Person (land line),Restaurant/cafe,Non Residential,Animal rescue from height,Animal rescue from height - Bird,E05000200,Grange,E09000010,Enfield,Enfield,207173553.0,The Town,20703007.0,EN2,532877.0,196570.0,532850,196550,0.9075086880122806,0.5167217633932386,0.4374828899511457,14
104744091.0,18/06/2009 20:52,2009,2009/10,Special Service,1.0,1.0,260,0.001834862385321101,Redacted,Bird,Person (land line),Other outdoor location,Outdoor,Animal rescue from height,Animal rescue from height - Bird,E05000172,Dormers Wells,E09000009,Ealing,Southall,12015882.0,Fleming Road,20600676.0,UB1,514197.0,181099.0,514150,181050,0.5615235256068828,0.1694320013073152,0.488096554997068,20
104839091.0,18/06/2009 23:43,2009,2009/10,Special Service,1.0,1.0,260,0.001834862385321101,Redacted,Dog,Person (mobile),River/canal,Outdoor,Animal rescue from water,Animal rescue from water - Domestic pet,E05000448,Lewisham Central,E09000023,Lewisham,Lee Green,10091837631.0,Lee High Road,22004135.0,SE13,538749.0,175299.0,538750,175250,0.4138190998771321,0.6132822083895522,0.4131982974311456,23
105152091.0,19/06/2009 15:26,2009,2009/10,Special Service,1.0,1.0,260,0.001834862385321101,Redacted,Bird,Person (land line),Church/Chapel,Non Residential,Other animal assistance,Animal assistance involving livestock - Other action,E05000434,Thurlow Park,E09000022,Lambeth,West Norwood,100022000000.0,Robson Road,21901163.0,SE27,532202.0,172317.0,532250,172350,0.3491267351315547,0.4929037457223662,0.3172877968028322,15
105902091.0,20/06/2009 12:13,2009,2009/10,Special Service,1.0,2.0,260,0.09724770642201835,Redacted,Cat,Person (land line),Domestic garden (vegetation not equipment),Outdoor,Animal rescue from height,Animal rescue from height - Domestic pet,E05000127,West Wickham,E09000006,Bromley,Beckenham,100020000000.0,North Road,20301772.0,BR4,537894.0,166191.0,537850,166150,0.204512631014971,0.593275441803832,0.4863466356416989,12
106585091.0,21/06/2009 11:55,2009,2009/10,Special Service,1.0,1.0,260,0.001834862385321101,Redacted,Cat,Person (land line),Park,Outdoor,Animal rescue from height,Wild animal rescue from height,E05011467,Crystal Palace & Upper Norwood,E09000008,Croydon,Norbury,100021000000.0,Glenhurst Rise,20500063.0,SE19,532303.0,170121.0,532350,170150,0.2984693043649651,0.49370345207415234,0.347941157381531,11
106628091.0,21/06/2009 13:36,2009,2009/10,Special Service,1.0,1.0,260,0.001834862385321101,Redacted,Cat,Person (mobile),Pub/wine bar/bar,Non Residential,Animal rescue from height,Animal rescue from height - Domestic pet,E05011469,Kenley,E09000008,Croydon,Purley,100021000000.0,Godstone Road,20503071.0,CR8,532409.0,160217.0,532450,160250,0.0702118711781306,0.4909718739785889,0.455993726930531,13
109020091.0,24/06/2009 18:41,2009,2009/10,Special Service,1.0,1.0,260,0.001834862385321101,Redacted,Cat,Person (mobile),Private garage,Non Residential,Animal rescue from below ground,Animal rescue from below ground - Domestic pet,E05000452,Sydenham,E09000023,Lewisham,Forest Hill,100022000000.0,Queensthorpe Road,22001820.0,SE26,535602.0,171699.0,535650,171650,0.3328287273692326,0.5543555201397674,0.3945565079934607,18
110478091.0,25/06/2009 19:32,2009,2009/10,Special Service,1.0,1.0,260,0.001834862385321101,CAT STUCK UP TREE,Cat,Person (land line),Park,Outdoor,Animal rescue from height,Animal rescue from height - Domestic pet,E05000278,Seven Sisters,E09000014,Haringey,Tottenham,100021000000.0,Manchester Road,21103584.0,N15,532983.0,188176.0,532950,188150,0.7140515553379607,0.5146349434356025,0.3380580305213946,19
110531091.0,25/06/2009 20:56,2009,2009/10,Special Service,1.0,1.0,260,0.001834862385321101,DEER STUCK IN FENCE,Deer,Person (mobile),Park,Outdoor,Other animal assistance,Animal assistance involving livestock - Other action,E05000339,Townfield,E09000017,Hillingdon,Hillingdon,100023000000.0,Wood End,21402199.0,UB3,509511.0,181260.0,509550,181250,0.5676109220608416,0.08421616318253536,0.5550415128618766,20
